Fecha,Departamento,Municipio,Evento,Fallecidos,Heridos,Familias,Viviendas Destruidas,Hectareas,Recursos Ejecutados,Valor Kit De Alimento,Valor Materiales De Construccion,Año,Mes
2019-01-01,ANTIOQUIA,SAN JERONIMO,INCENDIO ESTRUCTURAL,0,0,1,1,0.0,0.0,0.0,0.0,2019,1
2019-01-01,RISARALDA,MARSELLA,INMERSION,1,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-01,ANTIOQUIA,ANZA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0,2019,1
2019-01-01,ANTIOQUIA,MONTEBELLO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,ANTIOQUIA,CAUCASIA,INCENDIO ESTRUCTURAL,0,1,1,1,0.0,0.0,0.0,0.0,2019,1
2019-01-01,ANTIOQUIA,AMAGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,ANTIOQUIA,SAN VICENTE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-01,MAGDALENA,SANTA MARTA,COLAPSO ESTRUCTURAL,0,0,1,0,0.0,0.0,0.0,0.0,2019,1
2019-01-01,SANTANDER,LOS SANTOS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,ZIPAQUIRA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30.0,0.0,0.0,0.0,2019,1
2019-01-02,META,VISTAHERMOSA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,200.0,0.0,0.0,0.0,2019,1
2019-01-01,ANTIOQUIA,LA CEJA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,ANTIOQUIA,MEDELLIN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,BOAVITA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-02,GUAINIA,INIRIDA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,VILLETA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,VILLETA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,BITUIMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,VILLETA,INCENDIO ESTRUCTURAL,0,0,1,0,0.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,SOATA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,50.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,SATIVANORTE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,JERICO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,RAMIRIQUI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,PAIPA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-02,SUCRE,COVEÑAS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,BOYACA,SAN MATEO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,VENTAQUEMADA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,LA CALERA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-02,CUNDINAMARCA,FUQUENE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-02,CUNDINAMARCA,FOMEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,ZIPAQUIRA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,PACHO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,12.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,NOCAIMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,CUNDINAMARCA,TOCAIMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-02,CUNDINAMARCA,SASAIMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-02,TOLIMA,CHAPARRAL,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-03,TOLIMA,ANZOATEGUI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,100.0,0.0,0.0,0.0,2019,1
2019-01-03,BOYACA,TIPACOQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,VENTAQUEMADA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,JERICO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,BOAVITA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,CHITA,INMERSION,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,BOAVITA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-03,CUNDINAMARCA,CAQUEZA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-02,CUNDINAMARCA,CHOACHI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-02,CUNDINAMARCA,GACHETA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-03,ANTIOQUIA,BELLO,INCENDIO DE COBERTURA VEGETAL,0,1,0,0,90.0,0.0,0.0,0.0,2019,1
2019-01-03,TOLIMA,LIBANO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-03,CESAR,SAN DIEGO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-03,CESAR,EL PASO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-03,SANTANDER,FLORIDABLANCA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,21.0,0.0,0.0,0.0,2019,1
2019-01-01,SANTANDER,PIEDECUESTA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,PAIPA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-03,META,PUERTO GAITAN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,1
2019-01-03,TOLIMA,GUAMO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-03,TOLIMA,SAN LUIS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-04,CAQUETA,FLORENCIA,MOVIMIENTO EN MASA,0,0,3,3,0.0,0.0,0.0,0.0,2019,1
2019-01-03,TOLIMA,SAN LUIS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-02,TOLIMA,PIEDRAS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-02,TOLIMA,SALDAÑA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-02,TOLIMA,CASABIANCA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-01,TOLIMA,GUAMO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,TOLIMA,VILLARRICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,TOLIMA,ESPINAL,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-01,TOLIMA,ALVARADO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,200.0,0.0,0.0,0.0,2019,1
2019-01-02,CESAR,AGUACHICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-02,CESAR,EL PASO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-02,BOYACA,BOYACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-03,BOYACA,SAMACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-03,SANTANDER,ONZAGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-03,SANTANDER,PINCHOTE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7.0,0.0,0.0,0.0,2019,1
2019-01-03,SANTANDER,LA BELLEZA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-04,SANTANDER,CHARALA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-04,META,VILLAVICENCIO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-04,META,VILLAVICENCIO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-03,RISARALDA,LA CELIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-04,ANTIOQUIA,SANTAFE DE ANTIOQUIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-04,BOYACA,BELEN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-04,LA GUAJIRA,DISTRACCION,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-04,TOLIMA,MELGAR,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7.0,0.0,0.0,0.0,2019,1
2019-01-03,CUNDINAMARCA,UNE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-03,CUNDINAMARCA,LA PALMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-03,CUNDINAMARCA,AGUA DE DIOS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-03,CUNDINAMARCA,SILVANIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-03,CUNDINAMARCA,SILVANIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-03,CUNDINAMARCA,SILVANIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0,2019,1
2019-01-04,ANTIOQUIA,AMALFI,ACCIDENTE MINERO,1,1,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-04,"BOGOTA, D.C.","BOGOTA, D.C.",INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-04,CESAR,AGUACHICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-04,GUAINIA,INIRIDA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-04,CASANARE,OROCUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,600.0,0.0,0.0,0.0,2019,1
2019-01-03,CASANARE,OROCUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,800.0,0.0,0.0,0.0,2019,1
2019-01-05,META,LA URIBE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,8.0,0.0,0.0,0.0,2019,1
2019-01-03,CASANARE,OROCUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,700.0,0.0,0.0,0.0,2019,1
2019-01-05,CUNDINAMARCA,SIBATE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-05,VALLE DEL CAUCA,JAMUNDI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-05,CAQUETA,MORELIA,COLAPSO ESTRUCTURAL,0,8,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-05,CORDOBA,MONTERIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-05,CALDAS,AGUADAS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-03,SANTANDER,GIRON,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,1
2019-01-04,SANTANDER,BARICHARA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-05,CUNDINAMARCA,BOJACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-05,CUNDINAMARCA,CHOACHI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-05,CUNDINAMARCA,FOMEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15.0,0.0,0.0,0.0,2019,1
2019-01-05,CUNDINAMARCA,QUETAME,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,1
2019-01-05,CUNDINAMARCA,UBALA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-05,SANTANDER,GIRON,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-05,SANTANDER,LEBRIJA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,1
2019-01-05,SANTANDER,PUERTO WILCHES,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,16.0,0.0,0.0,0.0,2019,1
2019-01-06,ANTIOQUIA,BELLO,COLAPSO ESTRUCTURAL,0,0,3,1,0.0,0.0,0.0,0.0,2019,1
2019-01-06,ANTIOQUIA,SAN JERONIMO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,12.0,0.0,0.0,0.0,2019,1
2019-01-06,CALDAS,MANIZALES,ACCIDENTE TRANSPORTE TERRESTRE,0,4,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-06,CUNDINAMARCA,CHIA,GRANIZADA,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-06,CUNDINAMARCA,LA VEGA,ACCIDENTE TRANSPORTE TERRESTRE,0,11,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-06,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-06,CUNDINAMARCA,SILVANIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-06,NORTE DE SANTANDER,PAMPLONA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,1
2019-01-06,META,VILLAVICENCIO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-05,GUAINIA,INIRIDA,ACCIDENTE TRANSPORTE MARITIMO O FLUVIAL,1,0,1,0,0.0,0.0,0.0,0.0,2019,1
2019-01-06,CUNDINAMARCA,SOACHA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-05,CUNDINAMARCA,PAIME,VENDAVAL,0,0,2,0,0.0,0.0,0.0,0.0,2019,1
2019-01-06,RISARALDA,PEREIRA,VENDAVAL,0,0,55,0,0.0,0.0,0.0,0.0,2019,1
2019-01-06,RISARALDA,DOSQUEBRADAS,VENDAVAL,0,0,12,0,0.0,0.0,0.0,0.0,2019,1
2019-01-06,SANTANDER,GIRON,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0,2019,1
2019-01-06,VALLE DEL CAUCA,BUGALAGRANDE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-07,CASANARE,TRINIDAD,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-07,CUNDINAMARCA,CAQUEZA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-07,MAGDALENA,SANTA MARTA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-08,CAUCA,PATIA,ACCIDENTE TRANSPORTE TERRESTRE,0,15,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-08,META,PUERTO GAITAN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-07,MAGDALENA,ZONA BANANERA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-07,LA GUAJIRA,BARRANCAS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-06,VALLE DEL CAUCA,GUADALAJARA DE BUGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-08,CESAR,VALLEDUPAR,MOVIMIENTO EN MASA,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-08,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,1,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-08,META,VILLAVICENCIO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-07,VALLE DEL CAUCA,CALI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-07,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-07,BOYACA,TURMEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-07,MAGDALENA,ARACATACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-07,LA GUAJIRA,RIOHACHA,INCENDIO ESTRUCTURAL,0,0,1,0,0.0,0.0,0.0,0.0,2019,1
2019-01-08,CUNDINAMARCA,SOACHA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,1
2019-01-09,SANTANDER,CALIFORNIA,ACCIDENTE TRANSPORTE TERRESTRE,2,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-09,SANTANDER,LANDAZURI,MOVIMIENTO EN MASA,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-08,ANTIOQUIA,BARBOSA,ACCIDENTE TRANSPORTE TERRESTRE,0,11,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-03,ANTIOQUIA,APARTADO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0,2019,1
2019-01-01,ANTIOQUIA,ITAGUI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-08,CESAR,SAN DIEGO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30.0,0.0,0.0,0.0,2019,1
2019-01-09,ATLANTICO,LURUACO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-09,CUNDINAMARCA,FUSAGASUGA,ACCIDENTE TRANSPORTE TERRESTRE,1,20,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-08,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,1,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-09,VALLE DEL CAUCA,BUENAVENTURA,ACCIDENTE TRANSPORTE TERRESTRE,0,12,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-09,ANTIOQUIA,ANGOSTURA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-02,ANTIOQUIA,LA CEJA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-03,ANTIOQUIA,SEGOVIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,14.0,0.0,0.0,0.0,2019,1
2019-01-10,ARAUCA,TAME,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30.0,0.0,0.0,0.0,2019,1
2019-01-02,ATLANTICO,SABANALARGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,1
2019-01-04,ATLANTICO,SABANALARGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-05,ATLANTICO,SABANALARGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7.0,0.0,0.0,0.0,2019,1
2019-01-07,BOYACA,CHIVATA,OTROS,2,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-09,BOYACA,SOGAMOSO,ACCIDENTE MINERO,1,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-09,BOYACA,JERICO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-03,ATLANTICO,SOLEDAD,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-02,BOLIVAR,TURBACO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-04,BOLIVAR,EL CARMEN DE BOLIVAR,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0,2019,1
2019-01-05,BOLIVAR,MAHATES,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-10,BOYACA,TUNJA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-10,CALDAS,MANIZALES,ACCIDENTE TRANSPORTE TERRESTRE,0,3,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-08,CUNDINAMARCA,SOACHA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,1
2019-01-10,SANTANDER,LEBRIJA,ACCIDENTE TRANSPORTE TERRESTRE,0,6,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-06,BOYACA,GUICAN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-04,BOYACA,SAN PABLO DE BORBUR,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-06,CALDAS,ANSERMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-03,CASANARE,AGUAZUL,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-05,CASANARE,OROCUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-03,CESAR,AGUACHICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,18.0,0.0,0.0,0.0,2019,1
2019-01-11,CUNDINAMARCA,SUESCA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,1
2019-01-03,CESAR,AGUACHICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-05,CESAR,BOSCONIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-06,CESAR,EL COPEY,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-11,GUAVIARE,SAN JOSE DEL GUAVIARE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,1
2019-01-11,GUAVIARE,SAN JOSE DEL GUAVIARE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-11,NARIÑO,BARBACOAS,VENDAVAL,0,0,31,0,0.0,0.0,0.0,0.0,2019,1
2019-01-11,GUAVIARE,SAN JOSE DEL GUAVIARE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-11,ATLANTICO,MALAMBO,COLAPSO ESTRUCTURAL,2,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-12,RISARALDA,BALBOA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-12,NARIÑO,GUACHUCAL,GRANIZADA,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-13,CUNDINAMARCA,FUSAGASUGA,INCENDIO ESTRUCTURAL,0,4,1,0,0.0,0.0,0.0,0.0,2019,1
2019-01-13,CESAR,AGUACHICA,ACCIDENTE TRANSPORTE TERRESTRE,0,8,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-12,CASANARE,MANI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,600.0,0.0,0.0,0.0,2019,1
2019-01-13,META,GRANADA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-01-13,META,GRANADA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7.0,0.0,0.0,0.0,2019,1
2019-01-11,CUNDINAMARCA,GRANADA,INCENDIO ESTRUCTURAL,0,0,1,0,0.0,0.0,0.0,0.0,2019,1
